"branch_1"	"branch_2"	"branch_3"
"cell_0"	27.0726838805179		
"cell_1"		44.3453860145667	
"cell_2"		62.8374058949038	
"cell_3"	1.25247806891947		
"cell_4"		47.6568340082248	
"cell_5"		47.1056945538292	
"cell_6"		61.4414049273458	
"cell_7"	31.2293420444788		
"cell_8"		61.9906613968618	
"cell_9"	31.7055130279506		
"cell_10"	31.5099106319334		
"cell_11"		43.8007588494915	
"cell_12"	5.11832001728392		
"cell_13"		61.2630331267248	
"cell_14"	13.343892631595		
"cell_15"	5.39661954437375		
"cell_16"		42.6534199307629	
"cell_17"	5.19052301299947		
"cell_18"	35.3321476697023		
"cell_19"		60.9633289291819	
"cell_20"		62.0212770292285	
"cell_21"			43.2553375954101
"cell_22"		56.6316887114618	
"cell_23"		63.3940054009565	
"cell_24"			43.899009124636
"cell_25"		59.0558829254796	
"cell_26"	24.8878865824435		
"cell_27"		47.0841563096901	
"cell_28"		56.2161878024794	
"cell_29"		58.11752867684	
"cell_30"		53.9611347790975	
"cell_31"		51.8090682982838	
"cell_32"	16.8104103045268		
"cell_33"			43.7775413704006
"cell_34"			40.6710766857316
"cell_35"	4.2948817297647		
"cell_36"		61.8457753601997	
"cell_37"		59.0466963761103	
"cell_38"	35.3331564478186		
"cell_39"	6.55081563062217		
"cell_40"	1.64971750288881		
"cell_41"	9.35531995252392		
"cell_42"		41.6552524749973	
"cell_43"			44.0789528895226
"cell_44"	30.0308775022768		
"cell_45"		43.8851363183526	
"cell_46"		61.017956291067	
"cell_47"	34.6471489058022		
"cell_48"			43.6788919585902
"cell_49"	16.8279627603132		
"cell_50"	12.8020924857899		
"cell_51"	35.2935851567201		
"cell_52"			43.3545925391162
"cell_53"		62.2940119851068	
"cell_54"	36.4938685065413		
"cell_55"	24.1732061513304		
"cell_56"	20.6750626978379		
"cell_57"		51.9053683981066	
"cell_58"			43.9172667819298
"cell_59"			43.6020537606179
"cell_60"	26.8874835373541		
"cell_61"		61.5281730208559	
"cell_62"	19.2004750575936		
"cell_63"	15.0838627144425		
"cell_64"	28.2257901172219		
"cell_65"		61.867804449997	
"cell_66"	30.9410372081002		
"cell_67"		59.958215938425	
"cell_68"		59.0663079187839	
"cell_69"		62.9688212070432	
"cell_70"		44.8828970803763	
"cell_71"			40.6773801616375
"cell_72"			43.7751973610075
"cell_73"	30.8646955023694		
"cell_74"			44.8240957239871
"cell_75"			43.4037127578059
"cell_76"		57.6369574662477	
"cell_77"		47.0989639741898	
"cell_78"		59.5087510794065	
"cell_79"	22.421004986735		
"cell_80"	22.4323016973854		
"cell_81"			43.7593195125463
"cell_82"	19.2221168268065		
"cell_83"	32.396326580814		
"cell_84"	15.6694738557118		
"cell_85"		53.4336895125737	
"cell_86"		61.5247027587641	
"cell_87"	8.79033531515238		
"cell_88"			44.8135063492926
"cell_89"		61.1342252243917	
"cell_90"		62.1775969010037	
"cell_91"		45.4427292057443	
"cell_92"	7.70506096875532		
"cell_93"	5.22328507053119		
"cell_94"	9.94909493586713		
"cell_95"			44.0837345110141
"cell_96"		44.3716045205943	
"cell_97"			45.2774257220196
"cell_98"	28.630159946258		
"cell_99"	26.6809836107002		
"cell_100"	3.64257626754816		
"cell_101"	38.1580063347333		
"cell_102"	7.68472502589969		
"cell_103"		62.3521208263493	
"cell_104"			43.5783278094115
"cell_105"	4.97584763849973		
"cell_106"		62.6333719100786	
"cell_107"	24.7688589319657		
"cell_108"	31.1660337057858		
"cell_109"	28.8117309598095		
"cell_110"	3.57011123529295		
"cell_111"		59.5044724951939	
"cell_112"			45.3532747677984
"cell_113"	3.68291591998297		
"cell_114"	5.15332394736755		
"cell_115"		49.2275737655386	
"cell_116"		51.7922103927166	
"cell_117"	5.64452656443507		
"cell_118"			43.2411766955069
"cell_119"			43.5395445093583
"cell_120"	36.9930159314259		
"cell_121"		61.84706036144	
"cell_122"	18.6871893982012		
"cell_123"	28.063851481624		
"cell_124"		61.3944089995968	
"cell_125"	5.45503103461453		
"cell_126"	33.5717789339051		
"cell_127"	2.85307971172602		
"cell_128"	5.05306004757634		
"cell_129"		61.726723167466	
"cell_130"			44.4803413108576
"cell_131"		48.176317817593	
"cell_132"	1.22279700278681		
"cell_133"	36.4519576671738		
"cell_134"		63.2701442843754	
"cell_135"		60.981174456593	
"cell_136"	35.2542743005628		
"cell_137"	18.5998838279632		
"cell_138"	20.5828133922094		
"cell_139"			45.4893167287893
"cell_140"		52.4098692097657	
"cell_141"		47.0878164501888	
"cell_142"		63.0676507097008	
"cell_143"	32.9325632850259		
"cell_144"		61.2831305287877	
"cell_145"			43.425785654921
"cell_146"	22.6199790568875		
"cell_147"		61.0921573538927	
"cell_148"		61.4682626590717	
"cell_149"	5.09376710777751		
"cell_150"	35.3066594834071		
"cell_151"		48.1658043597853	
"cell_152"	35.3434722832869		
"cell_153"	36.4715283591551		
"cell_154"		61.8944384487314	
"cell_155"	5.1503644957992		
"cell_156"	28.453598168174		
"cell_157"			44.9775284115432
"cell_158"	28.2145282333819		
"cell_159"		62.1818471625713	
"cell_160"		61.7811432719338	
"cell_161"	1.88307737880762		
"cell_162"	4.15438234753717		
"cell_163"			40.7025590691939
"cell_164"		40.4001474942728	
"cell_165"		61.1877788867221	
"cell_166"	28.6398136830653		
"cell_167"		61.3730538718617	
"cell_168"			43.7187780687299
"cell_169"	38.6898070764667		
"cell_170"	18.0064322134252		
"cell_171"	20.4721904135334		
"cell_172"		61.0020585215575	
"cell_173"		52.8758273186278	
"cell_174"			43.6623084093134
"cell_175"		61.8898720593672	
"cell_176"		49.7336237364559	
"cell_177"		61.2055570420701	
"cell_178"		53.4202856215358	
"cell_179"		61.0091549115364	
"cell_180"	5.9040520557704		
"cell_181"	27.1024597163121		
"cell_182"		59.0541711119198	
"cell_183"	17.4057455230451		
"cell_184"	13.9186621521914		
"cell_185"		48.7119805364726	
"cell_186"		56.2410150311365	
"cell_187"		61.4759988320282	
"cell_188"		58.5994629432122	
"cell_189"	5.79014092970147		
"cell_190"	22.2897625454193		
"cell_191"		63.0075154079932	
"cell_192"			43.285777880784
"cell_193"	38.6978965230088		
"cell_194"		58.5922468422964	
"cell_195"	29.422149992891		
"cell_196"		50.86690394911	
"cell_197"	5.57864998000343		
"cell_198"		44.9181088588049	
"cell_199"			41.1223464978475
"cell_200"	8.80204012150358		
